id,problem,answer
1,"\\int x \\, dx","x^2/2 + C"
2,"\\int x^2 \\, dx","x^3/3 + C"
3,"\\int x^3 \\, dx","x^4/4 + C"
4,"\\int \\sin(x) \\, dx","-cos x + C"
5,"\\int \\cos(x) \\, dx","sin x + C"
6,"\\int e^x \\, dx","e^x + C"
7,"\\int \\frac{1}{x} \\, dx","ln|x| + C"
8,"\\int 2x \\, dx","x^2 + C"
9,"\\int 3x^2 \\, dx","x^3 + C"
10,"\\int \\frac{1}{x^2} \\, dx","-1/x + C"
11,"\\int \\tan(x) \\, dx","-ln|cos x| + C"
12,"\\int \\cot(x) \\, dx","ln|sin x| + C"
13,"\\int \\sec^2(x) \\, dx","tan x + C"
14,"\\int \\csc^2(x) \\, dx","-cot x + C"
15,"\\int \\sec(x)\\tan(x) \\, dx","sec x + C"
16,"\\int \\csc(x)\\cot(x) \\, dx","-csc x + C"
17,"\\int x^4 \\, dx","x^5/5 + C"
18,"\\int x^5 \\, dx","x^6/6 + C"
19,"\\int \\sqrt{x} \\, dx","(2/3)x^(3/2) + C"
20,"\\int \\frac{1}{\\sqrt{x}} \\, dx","2 sqrt(x) + C"
21,"\\int e^{2x} \\, dx","(1/2)e^(2x) + C"
22,"\\int e^{-x} \\, dx","-e^{-x} + C"
23,"\\int x e^x \\, dx","(x-1)e^x + C"
24,"\\int x \\sin(x) \\, dx","-x cos x + sin x + C"
25,"\\int x \\cos(x) \\, dx","x sin x + cos x + C"
26,"\\int \\ln(x) \\, dx","x ln x - x + C"
27,"\\int \\frac{1}{1+x^2} \\, dx","arctan x + C"
28,"\\int \\frac{1}{\\sqrt{1-x^2}} \\, dx","arcsin x + C"
29,"\\int \\frac{1}{\\sqrt{x^2+1}} \\, dx","ln|x+sqrt(x^2+1)| + C"
30,"\\int \\frac{1}{\\sqrt{x^2-1}} \\, dx","ln|x+sqrt(x^2-1)| + C"
31,"\\int x^2 e^x \\, dx","e^x (x^2 - 2x + 2) + C"
32,"\\int x^2 \\sin(x) \\, dx","-x^2 cos x + 2x sin x + 2 cos x + C"
33,"\\int x^2 \\cos(x) \\, dx","x^2 sin x + 2x cos x - 2 sin x + C"
34,"\\int x^3 e^x \\, dx","e^x (x^3 - 3x^2 + 6x - 6) + C"
35,"\\int x^3 \\sin(x) \\, dx","-x^3 cos x + 3x^2 sin x + 6x cos x - 6 sin x + C"
36,"\\int x^3 \\cos(x) \\, dx","x^3 sin x + 3x^2 cos x - 6x sin x - 6 cos x + C"
37,"\\int \\sin^2(x) \\, dx","x/2 - sin(2x)/4 + C"
38,"\\int \\cos^2(x) \\, dx","x/2 + sin(2x)/4 + C"
39,"\\int \\sin(x)\\cos(x) \\, dx","1/2 sin^2 x + C"
40,"\\int \\sin^3(x) \\, dx","-cos x + (1/3)cos^3 x + C"
41,"\\int \\cos^3(x) \\, dx","sin x - (1/3)sin^3 x + C"
42,"\\int e^x \\sin(x) \\, dx","(1/2)e^x(sin x - cos x) + C"
43,"\\int e^x \\cos(x) \\, dx","(1/2)e^x(sin x + cos x) + C"
44,"\\int e^{-x^2} \\, dx","非初等関数 (誤差関数)"
45,"\\int \\frac{1}{x^2+4} \\, dx","(1/2) arctan(x/2) + C"
46,"\\int \\frac{1}{x^2-4} \\, dx","(1/4) ln| (x-2)/(x+2) | + C"
47,"\\int \\frac{x}{x^2+1} \\, dx","(1/2) ln(x^2+1) + C"
48,"\\int \\frac{x}{\\sqrt{x^2+1}} \\, dx","sqrt(x^2+1) + C"
49,"\\int \\frac{1}{x\\ln(x)} \\, dx","ln|ln x| + C"
50,"\\int \\arctan(x) \\, dx","x arctan x - 1/2 ln(1+x^2) + C"
